City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max_temp,Windspeed
Longyearbyen,NO,1555818600,90,79,78.22,15.63,19.4,34.45
Aklavik,CA,1555815600,75,59,68.22,-135.01,35.6,5.82
San Policarpo,PH,1555819279,42,69,12.18,125.51,82.6,11.03
Khatanga,RU,1555819279,100,86,71.98,102.47,5.03,5.1
Cape Town,ZA,1555819264,0,67,-33.93,18.42,61.0,16.11
Busselton,AU,1555819231,31,35,-33.64,115.35,69.01,9.04
Hasaki,JP,1555818682,75,72,35.73,140.83,72.0,10.29
Geraldton,CA,1555815600,5,95,49.72,-86.95,33.8,2.24
Ahipara,NZ,1555819091,1,91,-35.17,173.16,68.0,12.44
Ilulissat,GL,1555815000,63,53,69.22,-51.1,21.2,5.82
Samarai,PG,1555819281,89,54,-10.62,150.67,90.55,1.88
Siguiri,GN,1555819281,98,45,11.42,-9.17,88.52,11.1
Bredasdorp,ZA,1555819213,100,87,-34.53,20.04,54.0,1.12
Vardo,US,1555819272,90,51,39.62,-77.74,59.0,8.05
Seoul,KR,1555818600,90,63,37.57,126.98,64.4,1.12
Port Alfred,ZA,1555819081,94,85,-33.59,26.89,60.01,4.0
Qaanaaq,GL,1555819282,100,77,77.48,-69.36,-8.74,4.18
Boma,NG,1555819283,75,26,11.23,4.46,85.93,3.09
Nambucca Heads,AU,1555819205,40,73,-30.64,152.99,77.0,8.05
Le Port,FR,1555819006,80,69,42.87,1.37,50.0,4.0
Yellowknife,CA,1555818768,20,63,62.45,-114.38,28.4,6.93
Mehran,IR,1555817400,0,75,33.12,46.17,42.8,2.24
Mount Isa,AU,1555817400,75,25,-20.73,139.49,87.8,5.82
Sur,OM,1555819284,0,26,22.57,59.53,89.09,7.87
Jumla,NP,1555819285,2,26,29.28,82.18,56.12,1.81
Dikson,RU,1555819285,98,91,73.51,80.55,6.96,14.56
Hamilton,BM,1555818331,20,83,32.3,-64.78,69.8,13.87
Naze,NG,1555819285,100,89,5.43,7.07,77.43,4.9
Labytnangi,RU,1555819285,96,95,66.66,66.39,26.63,5.41
Berlevag,NO,1555816800,0,75,70.86,29.09,42.8,18.34
Calama,CL,1555815600,0,12,-22.46,-68.93,44.6,16.11
Hanna,CA,1555819144,0,48,51.64,-111.93,39.99,3.0
Aykhal,RU,1555815600,90,73,65.95,111.51,24.8,2.24
Bethel,US,1555818780,90,92,60.79,-161.76,30.2,12.75
Canutama,BR,1555819287,100,96,-6.53,-64.38,76.15,1.68
Adur,AZ,1555815600,26,86,41.12,48.3,41.0,2.24
Lasa,CY,1555817400,20,70,34.92,32.53,51.8,11.41
Leningradskiy,RU,1555819287,99,85,69.38,178.42,10.11,15.82
Omsukchan,RU,1555819288,85,98,62.53,155.8,29.93,4.32
Nizwa,OM,1555819288,0,32,22.93,57.53,77.86,2.59
Carnarvon,ZA,1555819288,90,60,-30.97,22.13,51.69,14.67
Castro,CL,1555815600,90,81,-42.48,-73.76,48.2,6.93
Kalmar,SE,1555818303,11,86,56.66,16.36,39.0,2.24
Saldanha,PT,1555819289,0,61,41.42,-6.55,50.57,9.64
Mariinsk,RU,1555819289,100,85,56.21,87.75,32.48,8.39
Pevek,RU,1555819290,100,89,69.7,170.27,15.24,13.29
Hermanus,ZA,1555819213,88,94,-34.42,19.24,61.0,16.22
Cidreira,BR,1555819290,0,86,-30.17,-50.22,69.71,5.03
Nhulunbuy,AU,1555817400,40,62,-12.18,136.78,86.0,12.75
Bambanglipuro,ID,1555819290,10,75,-7.95,110.28,84.29,13.42
Karratha,AU,1555819290,100,17,-20.74,116.85,85.46,20.31
Ponta do Sol,BR,1555819291,0,89,-20.63,-46.0,60.33,1.81
Bahia Blanca,AR,1555819204,0,60,-38.72,-62.27,54.16,6.02
Ancud,CL,1555815600,90,81,-41.87,-73.83,48.2,6.93
Nishihara,JP,1555819209,75,56,35.74,139.53,73.99,10.29
Coihaique,CL,1555816260,90,93,-45.58,-72.07,42.8,3.36
Port Hardy,CA,1555815600,40,70,50.7,-127.42,46.4,5.82
Nome,US,1555819265,1,77,30.04,-94.42,68.0,3.36
Tilichiki,RU,1555819292,52,62,60.47,166.1,37.34,9.93
Te Anau,NZ,1555819292,51,69,-45.41,167.72,50.38,5.23
Barrow,AR,1555819292,0,83,-38.31,-60.23,50.07,4.54
Jamestown,AU,1555819292,75,49,-33.21,138.6,66.72,10.89
Fort Nelson,CA,1555815600,20,22,58.81,-122.69,46.4,4.7
Bonavista,CA,1555818404,61,86,48.65,-53.11,35.01,3.69
Bratsk,RU,1555818790,100,27,56.15,101.63,39.2,2.24
Saint George,GR,1555816800,40,93,39.45,22.34,41.0,4.7
Najran,SA,1555815600,0,53,17.54,44.22,73.4,4.76
Ghugus,IN,1555819294,6,47,19.93,79.13,92.41,11.05
Lebu,ET,1555819294,86,82,8.96,38.73,57.88,1.61
Eureka,US,1555819062,90,87,40.8,-124.16,53.01,11.41
Tairua,NZ,1555819201,1,90,-37.02,175.85,64.0,11.01
Salalah,OM,1555815000,20,74,17.01,54.1,80.6,2.24
Avarua,CK,1555817400,56,53,-21.21,-159.78,75.2,6.93
Plover,US,1555819203,40,40,44.46,-89.54,57.2,5.79
Ugoofaaru,MV,1555819296,73,67,5.67,73.0,85.85,10.42
Botwood,CA,1555819271,40,100,49.14,-55.34,41.0,3.36
Ayan,TR,1555819296,100,94,40.67,33.6,27.88,8.55
Aksarka,RU,1555819296,100,92,66.56,67.8,31.53,13.24
Kavieng,PG,1555819297,1,64,-2.57,150.8,85.44,0.85
Tessalit,ML,1555819297,0,12,20.2,1.01,84.67,5.97
Scarborough,GB,1555818965,32,93,54.28,-0.41,54.0,1.12
Severo-Kurilsk,RU,1555819297,44,80,50.68,156.12,35.92,16.17
Yemtsa,RU,1555819297,40,96,63.06,40.33,34.64,4.7
Kokemaki,FI,1555819282,0,86,61.26,22.36,39.2,5.82
Ahuimanu,US,1555819289,40,61,21.44,-157.84,82.0,20.8
Quatre Cocos,MU,1555819144,75,83,-20.21,57.76,80.01,16.11
Hare Bay,CA,1555819271,40,100,48.86,-53.99,41.0,3.36
Puerto Ayora,EC,1555816545,68,95,-0.74,-90.35,78.01,5.99
Grand Gaube,MU,1555819144,75,83,-20.01,57.66,80.01,16.11
Wardenburg,DE,1555819268,0,81,53.07,8.19,42.01,4.7
Batagay,RU,1555819300,46,69,67.65,134.64,31.51,5.7
Carmen,PH,1555819300,56,33,7.2,124.8,102.09,1.88
Ballina,IE,1555819091,100,95,54.11,-9.15,51.01,5.01
Seddon,NZ,1555818959,100,95,-41.67,174.07,55.99,3.0
Hambantota,LK,1555816200,40,84,6.12,81.12,86.0,3.36
Mar del Plata,AR,1555819037,0,52,-46.43,-67.52,56.17,4.38
Hoquiam,US,1555819288,1,81,46.98,-123.89,55.99,9.17
Hirara,JP,1555815600,75,83,24.8,125.28,80.6,4.7
Buala,SB,1555819301,100,72,-8.15,159.59,84.63,8.12
Tete,MZ,1555815600,40,93,-16.16,33.59,66.2,3.38
Broken Hill,AU,1555815600,100,40,-31.97,141.45,73.4,13.87
Vestnes,NO,1555819302,75,100,62.63,7.09,46.4,12.75
Hualmay,PE,1555819303,37,91,-11.1,-77.61,68.79,14.88
Cockburn Town,TC,1555819235,0,80,21.46,-71.14,79.1,21.03
Straumen,NO,1555819264,75,81,63.87,11.3,46.99,9.17
Georgetown,GY,1555815600,40,88,6.8,-58.16,77.0,4.7
Luderitz,NA,1555815600,0,87,-26.65,15.16,55.4,18.34
Lorengau,PG,1555819304,55,76,-2.02,147.27,84.36,0.89
Banjar,ID,1555819304,74,70,-7.37,108.54,84.76,3.4
Esperance,TT,1555819267,40,83,10.24,-61.45,81.0,8.16
Shache,CN,1555819305,19,16,38.42,77.24,76.12,16.4
Boende,CD,1555819305,100,94,-0.28,20.88,75.11,1.52
Thompson,CA,1555815600,75,63,55.74,-97.86,28.4,4.7
Milkovo,BG,1555819084,0,72,41.53,24.68,50.0,3.78
Mnogovershinnyy,RU,1555819305,100,61,53.94,139.92,39.07,11.16
Hilo,US,1555819098,0,69,19.71,-155.08,77.0,8.05
Saskylakh,RU,1555819306,100,96,71.97,114.09,13.64,8.41
Lata,IN,1555819306,1,87,30.78,78.62,33.26,4.47
Makakilo City,US,1555818938,40,61,21.35,-158.09,82.0,10.29
Ribeira Grande,PT,1555819306,5,90,38.52,-28.7,60.96,8.46
Rovaniemi,FI,1555818600,0,87,66.5,25.72,37.4,17.22
Idar,DE,1555819269,0,50,49.72,7.3,51.8,4.7
Namibe,AO,1555819307,40,77,-15.19,12.15,72.93,8.52
Portland,US,1555818664,1,67,45.52,-122.67,59.0,10.29
Baykit,RU,1555819308,100,86,61.68,96.39,28.09,3.94
Burgeo,CA,1555819308,100,92,47.61,-57.61,38.84,10.38
Sola,NO,1555819225,0,66,58.89,5.65,48.0,8.05
Vila Franca do Campo,PT,1555819275,75,87,37.72,-25.43,59.0,11.41
Atar,MR,1555819309,0,21,20.52,-13.05,77.16,11.83
Sitka,US,1555819275,0,45,37.17,-99.65,69.01,8.99
Nanortalik,GL,1555819309,55,89,60.14,-45.24,31.01,15.23
Soyo,AO,1555819309,100,83,-6.13,12.37,82.36,9.15
Kapaa,US,1555819113,75,74,22.08,-159.32,78.8,13.87
Constitucion,MX,1555819216,40,15,23.99,-104.67,71.6,12.75
Puqi,CN,1555819310,97,79,29.72,113.88,67.57,11.18
Celestun,MX,1555819310,0,57,20.87,-90.4,74.77,12.1
Guane,CU,1555819311,0,58,22.2,-84.09,76.24,12.5
Darhan,MN,1555819311,1,21,49.49,105.92,49.89,5.57
Qaqortoq,GL,1555815000,50,69,60.72,-46.03,35.6,8.05
Chokurdakh,RU,1555819311,19,80,70.62,147.9,15.92,11.54
Chuy,UY,1555819311,8,74,-33.69,-53.46,62.71,15.26
Goldap,PL,1555819312,13,91,54.31,22.3,40.04,5.82
Hutchinson,US,1555819216,1,59,38.06,-97.93,69.01,16.11
Katsuura,JP,1555817887,20,73,33.93,134.5,71.6,5.82
Tasiilaq,GL,1555815000,100,80,65.61,-37.64,30.2,23.04
Xining,CN,1555819243,71,45,36.62,101.77,49.35,2.28
Palestine,US,1555819174,1,67,31.76,-95.63,60.8,3.36
Alice Springs,AU,1555817400,100,43,-23.7,133.88,73.4,8.05
Tazovskiy,RU,1555819313,68,92,67.47,78.7,7.63,11.12
Quelimane,MZ,1555815600,40,94,-17.88,36.89,71.6,2.24
Kampene,CD,1555819313,99,98,-3.59,26.67,66.54,2.42
Saint-Philippe,CA,1555819304,90,100,45.36,-73.48,45.0,3.83
Noumea,NC,1555817400,100,94,-22.28,166.46,73.4,6.93
Harer,US,1555819306,1,80,42.19,-111.17,57.0,4.7
Minsk,BY,1555817400,0,80,53.9,27.56,41.0,4.47
Balgazyn,RU,1555819315,96,34,51.0,95.2,51.31,5.41
Talnakh,RU,1555815600,0,76,69.49,88.39,-7.61,2.24
Upernavik,GL,1555819315,100,72,72.79,-56.15,15.4,4.32
Subiaco,AU,1555819282,0,42,-31.95,115.83,71.01,5.82
Shaowu,CN,1555819315,9,63,27.34,117.49,82.6,4.45
Faanui,PF,1555819316,1,70,-16.48,-151.75,84.76,7.09
Flinders,AU,1555819293,7,57,-34.58,150.85,82.0,9.17
Saint Anthony,US,1555819200,40,44,43.97,-111.68,57.2,9.17
Sioux Lookout,CA,1555815600,40,86,50.1,-91.92,51.8,3.31
Beringovskiy,RU,1555819316,0,81,63.05,179.32,14.68,9.08
Babynino,RU,1555817400,0,80,54.39,35.75,33.8,5.12
Nuuk,GL,1555815000,100,100,64.17,-51.74,28.4,6.93
Cayeli,TR,1555819317,61,94,41.09,40.73,41.21,4.83
Chifeng,CN,1555819317,0,24,42.27,118.96,54.14,9.75
Rosa Zarate,EC,1555819318,100,96,0.33,-79.47,74.3,0.89
Waipawa,NZ,1555818917,92,70,-39.94,176.59,62.01,3.0
Salinas,US,1555819184,90,66,36.67,-121.66,55.4,8.05
Yurimaguas,PE,1555819318,100,81,-5.9,-76.1,75.09,2.64
Pangnirtung,CA,1555819318,50,99,66.15,-65.72,-6.51,2.33
Tortoli,IT,1555819202,75,87,39.93,9.66,57.2,6.93
Shivrajpur,IN,1555817400,0,42,22.42,73.65,82.4,3.36
Vaitape,PF,1555819319,1,70,-16.52,-151.75,84.76,7.09
Brigantine,US,1555819295,1,82,39.41,-74.36,57.99,8.05
Sambava,MG,1555819319,68,96,-14.27,50.17,69.13,3.67
Barcelos,PT,1555819313,0,58,41.53,-8.62,64.0,11.5
Cayenne,GF,1555817400,75,78,4.94,-52.33,80.6,8.05
Ca Mau,VN,1555819320,49,43,9.18,105.15,94.98,6.35
Kavaratti,IN,1555817400,40,66,10.57,72.64,86.0,5.82
New Norfolk,AU,1555819287,0,47,-42.78,147.06,80.01,9.17
Spencer,US,1555819313,1,42,43.14,-95.14,66.2,14.99
Port Elizabeth,US,1555819313,75,77,39.31,-74.98,61.0,4.7
Hofn,IS,1555819315,35,91,64.25,-15.21,25.63,3.33
San Cristobal,EC,1555819236,90,93,-0.39,-78.55,57.2,5.82
Gerash,IR,1555815600,20,72,27.67,54.14,60.8,1.01
Foz,ES,1555819215,91,1,43.57,-7.26,57.99,2.06
Champerico,MX,1555814880,40,41,16.38,-93.6,77.0,10.29
Shelburne,CA,1555819323,90,100,44.08,-80.2,46.99,2.24
Souillac,FR,1555819213,0,87,45.6,-0.6,57.0,5.82
Yar-Sale,RU,1555819324,100,93,66.83,70.83,25.97,7.78
Sinnamary,GF,1555819324,99,77,5.38,-52.96,81.03,18.39
Meridian,US,1555815480,1,71,32.36,-88.7,53.6,3.85
The Valley,AI,1555819235,75,74,18.22,-63.06,78.8,13.87
Solnechnyy,RU,1555819326,100,58,50.72,136.64,46.29,3.42
Alofi,NU,1555815600,93,65,-19.06,-169.92,78.8,19.46
Pisco,PE,1555818383,0,73,-13.71,-76.2,71.6,20.07
Kenai,US,1555819170,90,86,60.55,-151.26,36.0,10.29
Katobu,ID,1555819326,100,86,-4.94,122.53,83.55,4.63
Sao Felix do Xingu,BR,1555819030,96,97,-6.64,-51.99,71.96,2.1
Goderich,CA,1555819289,100,98,43.74,-81.71,43.0,10.6
Williams Lake,CA,1555815600,40,33,52.13,-122.14,46.4,5.82
Vammala,FI,1555819161,0,83,61.34,22.91,39.2,5.82
Bowen,AU,1555819222,40,65,-20.01,148.25,84.99,17.22
Port Keats,AU,1555819328,29,36,-14.25,129.55,93.67,3.04
Provideniya,RU,1555819328,89,63,64.42,-173.23,12.14,5.32
Paamiut,GL,1555819328,100,84,61.99,-49.67,30.56,22.66
Bucerias,MX,1555819204,5,83,20.76,-105.33,75.99,2.93
Joshimath,IN,1555819329,2,19,30.57,79.57,57.45,2.98
Tongliao,CN,1555819329,0,11,43.61,122.27,58.8,3.24
Hervey Bay,AU,1555819209,75,61,-25.3,152.85,81.0,24.16
Capreol,CA,1555819307,20,52,46.71,-80.92,42.8,8.05
Boksitogorsk,RU,1555819295,0,89,59.47,33.85,33.01,2.82
Clyde River,CA,1555817880,90,84,70.47,-68.59,-2.21,17.22
Faya,SA,1555815600,40,88,18.39,42.45,64.4,6.93
La Romana,DO,1555815600,20,100,18.43,-68.97,75.2,5.17
Sisimiut,GL,1555819228,73,58,66.94,-53.67,30.38,7.63
Urukh,RU,1555817400,93,96,43.3,44.03,35.6,6.71
Labuhan,ID,1555819330,12,68,-2.54,115.51,87.64,2.1
Khanpur,PK,1555819227,0,25,28.65,70.66,89.9,11.3
Pacific Grove,US,1555819325,90,66,36.62,-121.92,55.99,8.05
Santa Fe,AR,1555819206,65,66,-31.62,-60.7,66.0,5.01
Vestmannaeyjar,IS,1555819315,100,74,63.44,-20.27,43.55,9.86
Presidencia Roque Saenz Pena,AR,1555819241,89,96,-26.79,-60.44,73.18,5.66
Cabedelo,BR,1555815600,40,100,-6.97,-34.84,75.2,2.24
Poltavka,RU,1555819332,0,64,54.36,71.76,38.19,9.37
Ixtapa,MX,1555819204,5,83,20.71,-105.21,75.99,2.93
Pescara,IT,1555819296,80,81,42.46,14.21,57.0,5.82
Yulara,AU,1555815600,26,28,-25.24,130.99,71.6,11.41
Amritsar,IN,1555817400,0,54,31.63,74.87,84.2,2.24
Kaeo,NZ,1555819091,17,91,-35.1,173.78,68.0,7.05
Tautira,PF,1555818786,20,70,-17.73,-149.15,84.2,12.75
Mahebourg,MU,1555819144,75,83,-20.41,57.7,80.01,16.11
Tomaszow Mazowiecki,PL,1555819120,0,79,51.53,20.01,45.0,3.36
Kyren,RU,1555819334,89,74,51.68,102.13,33.62,7.65
Poso,ID,1555819334,95,88,-1.4,120.75,69.4,1.74
Gallup,US,1555815180,1,15,35.53,-108.74,59.0,9.17
Khandbari,NP,1555819334,42,38,27.38,87.21,57.36,3.85
Avera,US,1555819332,40,93,33.19,-82.53,51.8,5.06
Cabo San Lucas,MX,1555818906,20,47,22.89,-109.91,75.99,4.7
Marawi,PH,1555819259,71,78,8.0,124.29,84.0,8.99
Gravdal,NO,1555819324,100,70,59.79,5.78,50.0,11.41
Rafai,CF,1555819335,99,65,4.95,23.92,72.16,0.11
Ibra,OM,1555819335,0,43,22.69,58.55,76.31,4.34
Lekoni,GA,1555819335,99,95,-1.58,14.26,70.93,4.72
Malinovoye Ozero,RU,1555819336,0,47,51.68,79.77,40.53,9.04
Datong,CN,1555819336,0,27,40.09,113.3,65.15,6.08
Rawson,AR,1555819336,0,50,-43.3,-65.11,58.55,7.18
Ormara,PK,1555819337,0,60,25.21,64.64,79.19,5.99
Hobyo,SO,1555819337,93,77,5.35,48.53,82.31,9.51
Zhigansk,RU,1555819337,100,94,66.77,123.37,28.7,7.94
Gull Lake,CA,1555815600,75,31,50.1,-108.48,50.0,11.41
Tamandare,BR,1555819337,100,96,-8.28,-70.75,75.27,1.72
Bodden Town,KY,1555819204,20,83,19.28,-81.25,78.8,8.34
Maiduguri,NG,1555819338,81,25,11.84,13.15,84.41,2.51
Kaitangata,NZ,1555819326,70,65,-46.28,169.85,55.99,3.0
Morehead,US,1555819204,90,93,38.18,-83.43,42.8,5.82
Necochea,AR,1555818374,6,80,-38.55,-58.74,51.01,1.01
Lixourion,GR,1555819328,75,82,38.2,20.43,60.01,8.05
Moron de la Frontera,ES,1555819301,20,72,37.12,-5.45,62.01,4.7
Bathsheba,BB,1555815600,75,78,13.22,-59.52,78.8,23.04
Sao Filipe,CV,1555819339,45,83,14.9,-24.5,71.33,15.95
Tra Vinh,VN,1555819339,55,45,9.93,106.35,93.0,6.51
Abu Samrah,SY,1555819340,100,81,35.3,37.18,48.97,3.06
Saint-Pierre,FR,1555817400,0,70,48.95,4.24,51.8,10.29
Dali,CN,1555819341,0,32,25.6,100.24,68.93,8.08
Saint Augustine,TT,1555819267,40,83,10.65,-61.4,81.0,8.16
Mumbwa,ZM,1555819341,0,96,-14.99,27.06,59.02,3.87
Vitim,RU,1555819342,100,85,59.44,112.57,31.26,11.81
San Rafael,AR,1555819343,0,33,-34.61,-68.33,58.85,1.41
Awjilah,LY,1555819343,0,38,29.14,21.3,64.29,15.14
Bar Harbor,US,1555819331,90,100,44.39,-68.2,57.0,14.99
Chabahar,IR,1555819344,0,43,25.29,60.65,83.42,3.87
Urucara,BR,1555819344,75,93,-2.54,-57.76,75.61,1.19
Lompoc,US,1555819228,40,81,34.64,-120.46,55.99,5.82
Itoman,JP,1555818790,75,74,26.12,127.67,78.8,6.93
Bandarbeyla,SO,1555819345,51,71,9.49,50.81,78.47,1.57
Richards Bay,ZA,1555819345,20,77,-28.77,32.06,75.58,21.72
Lima,PE,1555818904,0,88,-12.06,-77.04,71.01,2.24
Pudozh,RU,1555819346,0,94,61.81,36.54,30.38,2.39
Adrar,DZ,1555815600,0,15,27.87,-0.29,71.6,9.17
Tezu,IN,1555819346,74,33,27.93,96.16,80.65,3.42
Thaton,MM,1555819346,6,76,16.91,97.37,85.22,10.85
Ambilobe,MG,1555819347,89,81,-13.19,49.05,73.78,6.69
Spassk,RU,1555819347,27,57,53.93,43.19,42.58,3.22
Barcelona,ES,1555819083,0,55,41.38,2.18,61.0,21.92
Dzhuryn,UA,1555817400,90,70,49.03,25.58,44.6,2.24
Tiksi,RU,1555819348,100,76,71.64,128.87,15.96,15.14
Awbari,LY,1555819348,100,11,26.59,12.77,75.0,16.11
Hyeres,FR,1555819295,0,42,43.12,6.14,66.2,14.99
Xichang,CN,1555819348,32,53,27.88,102.25,62.13,4.38
Ankpa,NG,1555819349,100,76,7.37,7.63,79.95,7.05
Airai,TL,1555819349,38,49,-8.93,125.41,89.38,1.86
College,US,1555819243,40,41,64.86,-147.8,41.0,11.41
Koslan,RU,1555819349,100,86,63.46,48.9,33.2,8.3
Harper,US,1555819323,1,59,30.3,-99.24,68.0,3.36
Hailey,US,1555819225,90,87,43.52,-114.32,46.4,6.93
Nikolskoye,RU,1555819237,0,92,59.7,30.79,36.0,4.47
Mayor Pablo Lagerenza,PY,1555819350,19,63,-19.93,-60.77,80.09,5.5
Yekaterinovka,RU,1555819351,0,63,46.69,38.75,43.19,14.34
Laguna,MX,1555819351,0,54,27.52,-110.01,73.97,13.15
Pechenga,RU,1555819351,0,90,58.89,41.46,37.69,1.74
Gorontalo,ID,1555819351,80,52,0.54,123.06,91.0,4.16
San Fernando,TT,1555819267,40,83,10.28,-61.46,81.0,8.16
Russell,AR,1555815600,40,39,-33.01,-68.8,66.2,6.93
Tual,ID,1555819353,35,74,-5.67,132.75,85.6,13.11
Port Said,EG,1555819353,0,42,25.34,30.55,61.32,12.17
San Patricio,PY,1555819353,100,95,-26.98,-56.83,71.65,3.69
Nenjiang,CN,1555819353,0,16,49.17,125.23,47.62,13.89
Puerto Escondido,MX,1555814400,40,69,15.86,-97.07,80.6,8.05
Kashan,IR,1555819354,2,54,33.99,51.44,41.18,4.12
Codrington,AU,1555819249,40,57,-28.95,153.24,78.01,13.87
Phalaborwa,ZA,1555815600,38,88,-23.95,31.14,66.2,8.05
Escanaba,US,1555819208,90,26,45.75,-87.06,51.01,4.9
Westport,IE,1555819323,100,96,53.8,-9.52,51.01,5.01
Viedma,AR,1555819355,0,56,-40.81,-62.99,54.5,5.01
Mitu,IR,1555819355,0,83,36.2,46.09,35.24,4.63
Jalingo,NG,1555819356,10,11,10.3,10.93,78.51,3.24
Fortuna,ES,1555819352,40,62,38.18,-1.13,59.0,11.41
Svetlaya,RU,1555819356,100,31,46.54,138.33,51.44,5.55
Pervomayskiy,RU,1555819357,0,48,53.24,40.29,43.79,0.96
Bahia de Caraquez,EC,1555815600,75,78,-0.6,-80.42,78.8,4.7
Panaba,MX,1555819357,0,55,21.28,-88.27,71.18,4.72
Ust-Ilimsk,RU,1555819357,99,58,57.96,102.73,36.28,3.87
Dryden,CA,1555815600,40,37,49.79,-92.84,51.8,2.24
Hay River,CA,1555815600,75,80,60.82,-115.79,30.2,3.36
Mudanya,TR,1555816800,75,93,40.38,28.88,45.0,8.05
Kahului,US,1555819281,75,78,20.89,-156.47,78.01,14.99
Erdenet,MN,1555819358,91,31,49.03,104.04,48.43,5.88
Sao Joao da Barra,BR,1555819311,0,95,-21.64,-41.05,70.03,1.97
Batagay-Alyta,RU,1555819359,89,90,67.8,130.41,16.48,5.86
Oranjemund,ZA,1555819359,0,87,-28.55,16.43,59.74,25.08
Garowe,SO,1555819359,50,74,8.41,48.48,77.25,10.58
San Ramon,NI,1555819330,77,93,12.92,-85.84,66.0,4.0
Caboolture,AU,1555819300,40,65,-27.08,152.95,82.0,12.75
